judge_model,dialect,mean_score,std_score,n
claude-haiku-4-5-20251001,aave,1.9489795918367347,0.22117068930131148,98
claude-haiku-4-5-20251001,indian,1.9183673469387754,0.2752119853148295,98
claude-haiku-4-5-20251001,sae,2.93,0.6396811074214395,100
claude-haiku-4-5-20251001,singapore,1.8265306122448979,0.38059937006848626,98
claude-opus-4-7,aave,2.122448979591837,0.5423375546126951,98
claude-opus-4-7,indian,1.9387755102040816,0.401449089879652,98
claude-opus-4-7,sae,3.32,0.8747871313939897,100
claude-opus-4-7,singapore,1.907216494845361,0.5017152709041446,97
claude-sonnet-4-6,aave,1.3061224489795917,0.46325080079725867,98
claude-sonnet-4-6,indian,1.2755102040816326,0.4490680440002672,98
claude-sonnet-4-6,sae,2.64,0.6116710015534611,100
claude-sonnet-4-6,singapore,1.316326530612245,0.46743297166568215,98
gpt-4o,aave,1.2040816326530612,0.40510107364131753,98
gpt-4o,indian,1.2653061224489797,0.44376599220582214,98
gpt-4o,sae,2.67,0.6204429828352441,100
gpt-4o,singapore,1.1224489795918366,0.3294890177744922,98
